cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
filter_fx_formant_resonance,filter_fx_formant_resonance,0.850000023841858,0.300000011920929,1,Filter fx Formant Resonance,136,Filter fx Formant Resonance,136,Filter fx Formant Resonance
filter_fx_formant_spread,filter_fx_formant_spread,0,-1,1,Filter fx Formant Spread,754,Filter fx Formant Spread,754,Filter fx Formant Spread
filter_fx_formant_transpose,filter_fx_formant_transpose,0,-12,12,Filter fx Formant Transpose,137,Filter fx Formant Transpose,137,Filter fx Formant Transpose
filter_fx_formant_x,filter_fx_formant_x,0.5,0,1,Filter fx Formant X,138,Filter fx Formant X,138,Filter fx Formant X
filter_fx_formant_y,filter_fx_formant_y,0.5,0,1,Filter fx Formant Y,139,Filter fx Formant Y,139,Filter fx Formant Y
filter_fx_keytrack,filter_fx_keytrack,0,-1,1,Filter fx Key Track,140,Filter fx Key Track,140,Filter fx Key Track
filter_fx_mix,filter_fx_mix,1,0,1,Filter fx Mix,141,Filter fx Mix,141,Filter fx Mix
filter_fx_model,filter_fx_model,0,0,7,Filter fx Model,142,Filter fx Model,142,Filter fx Model
filter_fx_on,filter_fx_on,0,0,1,Filter fx Switch,143,Filter fx Switch,143,Filter fx Switch
filter_fx_resonance,filter_fx_resonance,0.5,0,1,Filter fx Resonance,144,Filter fx Resonance,144,Filter fx Resonance
filter_fx_style,filter_fx_style,0,0,8,Filter fx Style,145,Filter fx Style,145,Filter fx Style
flanger_center,flanger_center,64,8,136,Flanger Center,548,Flanger Center,548,Flanger Center
flanger_dry_wet,flanger_dry_wet,0.5,0,0.5,Flanger Mix,146,Flanger Mix,146,Flanger Mix
flanger_feedback,flanger_feedback,0.5,-1,1,Flanger Feedback,147,Flanger Feedback,147,Flanger Feedback
flanger_frequency,flanger_frequency,2,-5,2,Flanger Frequency,148,Flanger Frequency,148,Flanger Frequency
flanger_mod_depth,flanger_mod_depth,0.5,0,1,Flanger Mod Depth,149,Flanger Mod Depth,149,Flanger Mod Depth
flanger_on,flanger_on,0,0,1,Flanger Switch,150,Flanger Switch,150,Flanger Switch
flanger_phase_offset,flanger_phase_offset,0.333333343267441,0,1,Flanger Phase Offset,151,Flanger Phase Offset,151,Flanger Phase Offset
flanger_sync,flanger_sync,1,0,3,Flanger Sync,152,Flanger Sync,152,Flanger Sync
flanger_tempo,flanger_tempo,4,0,10,Flanger Tempo,153,Flanger Tempo,153,Flanger Tempo
legato,legato,0,0,1,Legato,154,Legato,154,Legato
lfo_1_delay_time,lfo_1_delay_time,0,0,4,LFO 1 Delay,155,LFO 1 Delay,155,LFO 1 Delay
lfo_1_fade_time,lfo_1_fade_time,0,0,8,LFO 1 Fade In,156,LFO 1 Fade In,156,LFO 1 Fade In
lfo_1_frequency,lfo_1_frequency,1,-7,9,LFO 1 Frequency,157,LFO 1 Frequency,157,LFO 1 Frequency
lfo_1_keytrack_transpose,lfo_1_keytrack_transpose,-12,-60,36,LFO 1 Transpose,728,LFO 1 Transpose,728,LFO 1 Transpose
lfo_1_keytrack_tune,lfo_1_keytrack_tune,0,-1,1,LFO 1 Tune,729,LFO 1 Tune,729,LFO 1 Tune
lfo_1_phase,lfo_1_phase,0,0,1,LFO 1 Phase,158,LFO 1 Phase,158,LFO 1 Phase
lfo_1_smooth_mode,lfo_1_smooth_mode,1,0,1,LFO 1 Smooth Mode,755,LFO 1 Smooth Mode,755,LFO 1 Smooth Mode
lfo_1_smooth_time,lfo_1_smooth_time,-7.5,-10,4,LFO 1 Smooth Time,756,LFO 1 Smooth Time,756,LFO 1 Smooth Time
lfo_1_stereo,lfo_1_stereo,0,-0.5,0.5,LFO 1 Stereo,487,LFO 1 Stereo,487,LFO 1 Stereo
lfo_1_sync,lfo_1_sync,1,0,4,LFO 1 Sync,159,LFO 1 Sync,159,LFO 1 Sync
lfo_1_sync_type,lfo_1_sync_type,0,0,6,LFO 1 Sync Type,160,LFO 1 Sync Type,160,LFO 1 Sync Type
lfo_1_tempo,lfo_1_tempo,7,0,12,LFO 1 Tempo,161,LFO 1 Tempo,161,LFO 1 Tempo
lfo_2_delay_time,lfo_2_delay_time,0,0,4,LFO 2 Delay,162,LFO 2 Delay,162,LFO 2 Delay
lfo_2_fade_time,lfo_2_fade_time,0,0,8,LFO 2 Fade In,163,LFO 2 Fade In,163,LFO 2 Fade In
